log_size,trial,full_replay_ms,incremental_replay_ms,checkpoint_position
10000,1,3599,377,9000
10000,2,3602,378,9000
10000,3,3599,378,9000
50000,1,18022,1915,45000
50000,2,18032,1910,45000
50000,3,18024,1909,45000
100000,1,36083,3854,90000
100000,2,36092,3860,90000
100000,3,36292,3851,90000
