scenario,nodes,ops,partition_s,converge_ms,bytes_sent,msg_count,replay_ms,digest_prefix
no_partition,3,3000,0,67,2589940,6000,3266,5e82f902fe0ca3a8
partition_heal,3,3000,5,38,1386851,3201,3216,44e38389015fe6a5
